enabled,name,type,location_hint,direct_url,direct_url_2,direct_url_3,direct_url_4,direct_url_5,direct_url_6,direct_url_7,direct_url_8,direct_url_9,direct_url_10,linkedin_jobs_url,hellowork_jobs_url,indeed_jobs_url,welcome_jobs_url,extra_keywords,url_status,url_note,checked_on
yes,Volta Medical,entreprise,France OR Suisse OR Switzerland,https://jobs.eu.lever.co/volta-medical,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Volta+Medical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Volta+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Volta+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Volta+Medical+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official_ats,Official Lever job board for Volta Medical.,2026-05-29
yes,EPFL,labo,France OR Suisse OR Switzerland,https://www.epfl.ch/about/working/working-at-epfl/job-openings/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=EPFL+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=EPFL+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=EPFL+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=EPFL+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_official,EPFL job opportunities.,2026-05-29
yes,Clinatec,labo,France OR Suisse OR Switzerland,https://fonds-clinatec.fr/en/whats-new-at-clinatec/?e-filter-118656a-category=recrutement-en,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Clinatec+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Clinatec+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Clinatec+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Clinatec+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Clinatec/Fonds Clinatec careers page.,2026-05-29
yes,NeuroRestore,labo,France OR Suisse OR Switzerland,https://www.neurorestore.swiss/open-position,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=NeuroRestore+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=NeuroRestore+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=NeuroRestore+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=NeuroRestore+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official NeuroRestore open positions page.,2026-05-29
yes,LBMC,labo,France OR Suisse OR Switzerland,https://lbmc.univ-gustave-eiffel.fr/nous-rejoindre/theses,https://lbmc.univ-gustave-eiffel.fr/nous-rejoindre/post-doctorants,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=LBMC+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=LBMC+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=LBMC+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=LBMC+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Pages LBMC thèses et post-doctorants.,2026-05-29
yes,Proteor,entreprise,France OR Suisse OR Switzerland,https://fr.proteor.com/postes/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Proteor+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Proteor+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Proteor+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Proteor+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official PROTEOR positions page.,2026-05-29
yes,ISIR,labo,France OR Suisse OR Switzerland,https://www.isir.upmc.fr/join-us/opportunities/?lang=en,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=ISIR+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=ISIR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=ISIR+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=ISIR+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"robotique médicale, interaction, instrumentation, recherche",verified_official_labo,Official ISIR opportunities page.,2026-05-29
yes,CEA,labo,France OR Suisse OR Switzerland,https://www.emploi.cea.fr/offre-de-emploi/liste-offres.aspx,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=CEA+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=CEA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=CEA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=CEA+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_official,CEA official job offers.,2026-05-29
yes,University of Waterloo,labo,France OR Suisse OR Switzerland,https://uwaterloo.wd3.myworkdayjobs.com/uw_careers,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=University+of+Waterloo+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=University+of+Waterloo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=University+of+Waterloo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=University+of+Waterloo+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official_ats,Official Waterloo Workday careers portal.,2026-05-29
yes,ULB,labo,France OR Suisse OR Switzerland,https://www.ulb.be/fr/offres-d-emploi/offres-demploi-a-lulb-externes,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=ULB+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=ULB+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=ULB+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=ULB+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Portail offres externes ULB; le script filtrera France/Suisse.,2026-05-29
yes,Cisteo,entreprise,France OR Suisse OR Switzerland,https://www.cisteomedical.com/en/career/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Cisteo+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Cisteo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Cisteo+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Cisteo+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Cisteo Medical career page.,2026-05-29
yes,Kerimedical,entreprise,France OR Suisse OR Switzerland,https://fr.indeed.com/cmp/Keri-Medical-Sa/jobs,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Kerimedical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Kerimedical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Kerimedical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Kerimedical+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Page Indeed Keri Medical fournie.,2026-05-29
yes,Medtronic,entreprise,France OR Suisse OR Switzerland,https://medtronic.wd1.myworkdayjobs.com/fr-FR/MedtronicCareers?locationCountry=54c5b6971ffb4bf0b116fe7651ec789a,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Medtronic+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Medtronic+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Medtronic+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Medtronic+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB, source entreprises.csv, Dispositifs médicaux, ville PARIS 14, ingénieur R&D, dispositif médical, innovation médicale",verified_or_user_provided,Workday Medtronic filtré France. + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv,2026-05-29
yes,Abbott,entreprise,France OR Suisse OR Switzerland,https://www.jobs.abbott/us/en/c/research-development-jobs,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Abbott+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Abbott+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Abbott+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Abbott+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB, source entreprises.csv, Dispositifs médicaux, ville ISSY-LES-MOULINEAUX, ingénieur R&D, dispositif médical, innovation médicale, Dispositifs médicaux de diagnostic in vitro, ville RUNGIS, ville Rungis, ville Issy-Les-Moulineaux Cedex",verified_or_user_provided,Portail Abbott R&D jobs. + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv,2026-05-29
yes,Merck,entreprise,France OR Suisse OR Switzerland,https://careers.merckgroup.com/global/en/search-results,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Merck+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Merck+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Merck+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Merck+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Merck Group search results.,2026-05-29
yes,Biotronik,entreprise,France OR Suisse OR Switzerland,https://career5.successfactors.eu/career?company=C0001096615P&career%5fns=job%5flisting%5fsummary&navBarLevel=JOB%5fSEARCH&site=VjQtMC1hMS0zUmlLd0w3ZzJzYTJlTnloQ1hwZzNNSUV6TU9JYWVjVGlzeDF0RDdv&_s.crb=13aZCOfy7aIQeW7Cu20d%2f72m9qM6beANH9e0yWzzJNc%3d,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Biotronik+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Biotronik+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Biotronik+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Biotronik+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB, source entreprises.csv, Dispositifs médicaux, ville RUNGIS, ingénieur R&D, dispositif médical, innovation médicale, ville RUNGIS CEDEX",verified_or_user_provided,SuccessFactors BIOTRONIK fourni. + aussi présent dans entreprises.csv + aussi présent dans entreprises.csv,2026-05-29
yes,Zeiss,entreprise,France OR Suisse OR Switzerland,https://www.zeiss.com/career/en/job-search.html,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Zeiss+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Zeiss+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Zeiss+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Zeiss+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official ZEISS job search.,2026-05-29
yes,Align Technology,entreprise,France OR Suisse OR Switzerland,https://jobs.aligntech.com/search-job,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Align+Technology+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Align+Technology+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Align+Technology+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Align+Technology+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Align Technology job search.,2026-05-29
yes,Cardinal Health,entreprise,France OR Suisse OR Switzerland,https://jobs.cardinalhealth.com/search/searchjobs,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Cardinal+Health+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Cardinal+Health+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Cardinal+Health+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Cardinal+Health+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official,Official Cardinal Health jobs portal.,2026-05-29
yes,Hamilton Medical,entreprise,France OR Suisse OR Switzerland,https://jobs.hamilton.ch/en/open-positions/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Hamilton+Medical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Hamilton+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Hamilton+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Hamilton+Medical+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,"PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB, source entreprises.csv, Dispositifs médicaux, ville COURTABOEUF CEDEX, ingénieur R&D, dispositif médical, innovation médicale",verified_or_user_provided,Hamilton open positions. + aussi présent dans entreprises.csv,2026-05-29
yes,MSD Merck Sharp & Dohme,entreprise,France OR Suisse OR Switzerland,https://jobs.msd.com/fr/fr/search-results,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=MSD+Merck+Sharp+%26+Dohme+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=MSD+Merck+Sharp+%26+Dohme+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=MSD+Merck+Sharp+%26+Dohme+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=MSD+Merck+Sharp+%26+Dohme+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,MSD search results.,2026-05-29
yes,Trumpf,entreprise,France OR Suisse OR Switzerland,https://trumpf.wd3.myworkdayjobs.com/en-US/TRUMPF_Graduates_and_Professionals,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Trumpf+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Trumpf+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Trumpf+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Trumpf+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,TRUMPF Workday graduates/professionals.,2026-05-29
yes,Wandercraft,entreprise,France OR Suisse OR Switzerland,https://wandercraft.welcomekit.co/,,,,,,,,,,https://www.linkedin.com/jobs/search/?keywords=Wandercraft+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Wandercraft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Wandercraft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,https://www.welcometothejungle.com/fr/jobs?query=Wandercraft+ing%C3%A9nieur+biom%C3%A9dical+imagerie+m%C3%A9dicale+R%26D+software+medical+device&aroundQuery=France,,verified_official_ats,Official WelcomeKit job board for Wandercraft.,2026-05-29
