enabled,name,type,location_hint,direct_url,direct_url_2,direct_url_3,linkedin_jobs_url,hellowork_jobs_url,indeed_jobs_url,extra_keywords,url_status,url_note,checked_on
yes,Kerimedical,entreprise,France OR Suisse OR Switzerland,https://fr.indeed.com/cmp/Keri-Medical-Sa/jobs,,,https://www.linkedin.com/jobs/search/?keywords=Kerimedical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Kerimedical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Kerimedical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Page Indeed Keri Medical fournie.,2026-05-29
yes,Medtronic,entreprise,France OR Suisse OR Switzerland,https://medtronic.wd1.myworkdayjobs.com/fr-FR/MedtronicCareers?locationCountry=54c5b6971ffb4bf0b116fe7651ec789a,,,https://www.linkedin.com/jobs/search/?keywords=Medtronic+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Medtronic+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Medtronic+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Workday Medtronic filtré France.,2026-05-29
yes,Abbott,entreprise,France OR Suisse OR Switzerland,https://www.jobs.abbott/us/en/c/research-development-jobs,,,https://www.linkedin.com/jobs/search/?keywords=Abbott+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Abbott+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Abbott+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Portail Abbott R&D jobs.,2026-05-29
yes,Merck,entreprise,France OR Suisse OR Switzerland,https://careers.merckgroup.com/global/en/search-results,,,https://www.linkedin.com/jobs/search/?keywords=Merck+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Merck+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Merck+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Merck Group search results.,2026-05-29
yes,Biotronik,entreprise,France OR Suisse OR Switzerland,https://career5.successfactors.eu/career?company=C0001096615P&career%5fns=job%5flisting%5fsummary&navBarLevel=JOB%5fSEARCH&site=VjQtMC1hMS0zUmlLd0w3ZzJzYTJlTnloQ1hwZzNNSUV6TU9JYWVjVGlzeDF0RDdv&_s.crb=13aZCOfy7aIQeW7Cu20d%2f72m9qM6beANH9e0yWzzJNc%3d,,,https://www.linkedin.com/jobs/search/?keywords=Biotronik+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Biotronik+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Biotronik+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,SuccessFactors BIOTRONIK fourni.,2026-05-29
yes,Zeiss,entreprise,France OR Suisse OR Switzerland,https://www.zeiss.com/career/en/job-search.html,,,https://www.linkedin.com/jobs/search/?keywords=Zeiss+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Zeiss+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Zeiss+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official ZEISS job search.,2026-05-29
yes,Align Technology,entreprise,France OR Suisse OR Switzerland,https://jobs.aligntech.com/search-job,,,https://www.linkedin.com/jobs/search/?keywords=Align+Technology+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Align+Technology+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Align+Technology+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Align Technology job search.,2026-05-29
yes,Cardinal Health,entreprise,France OR Suisse OR Switzerland,https://jobs.cardinalhealth.com/search/searchjobs,,,https://www.linkedin.com/jobs/search/?keywords=Cardinal+Health+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Cardinal+Health+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Cardinal+Health+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Cardinal Health jobs portal.,2026-05-29
yes,Hamilton Medical,entreprise,France OR Suisse OR Switzerland,https://jobs.hamilton.ch/en/open-positions/,,,https://www.linkedin.com/jobs/search/?keywords=Hamilton+Medical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Hamilton+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Hamilton+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Hamilton open positions.,2026-05-29
yes,MSD Merck Sharp & Dohme,entreprise,France OR Suisse OR Switzerland,https://jobs.msd.com/fr/fr/search-results,,,https://www.linkedin.com/jobs/search/?keywords=MSD+Merck+Sharp+%26+Dohme+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=MSD+Merck+Sharp+%26+Dohme+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=MSD+Merck+Sharp+%26+Dohme+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,MSD search results.,2026-05-29
yes,Trumpf,entreprise,France OR Suisse OR Switzerland,https://trumpf.wd3.myworkdayjobs.com/en-US/TRUMPF_Graduates_and_Professionals,,,https://www.linkedin.com/jobs/search/?keywords=Trumpf+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Trumpf+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Trumpf+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,TRUMPF Workday graduates/professionals.,2026-05-29
yes,Wandercraft,entreprise,France OR Suisse OR Switzerland,https://wandercraft.welcomekit.co/,,,https://www.linkedin.com/jobs/search/?keywords=Wandercraft+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Wandercraft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Wandercraft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official WelcomeKit job board for Wandercraft.,2026-05-29
yes,Johnson and Johnson,entreprise,France OR Suisse OR Switzerland,https://www.careers.jnj.com/en/jobs/?orderby=0&pagesize=20&page=1&radius=100&country=France,,,https://www.linkedin.com/jobs/search/?keywords=Johnson+and+Johnson+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Johnson+and+Johnson+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Johnson+and+Johnson+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,J&J jobs France.,2026-05-29
yes,Boston Scientific,entreprise,France OR Suisse OR Switzerland,https://bostonscientific.eightfold.ai/careers?start=0&pid=563602812450716&sort_by=hot&filter_country=France,,,https://www.linkedin.com/jobs/search/?keywords=Boston+Scientific+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Boston+Scientific+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Boston+Scientific+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Boston Scientific Eightfold France.,2026-05-29
yes,Sysnav,entreprise,France OR Suisse OR Switzerland,https://sysnav.welcomekit.co/,,,https://www.linkedin.com/jobs/search/?keywords=Sysnav+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Sysnav+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Sysnav+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official WelcomeKit job board for Sysnav.,2026-05-29
yes,Affluent Medical,entreprise,France OR Suisse OR Switzerland,https://www.emploi.leem.org/company/2087,,,https://www.linkedin.com/jobs/search/?keywords=Affluent+Medical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Affluent+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Affluent+Medical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,sector_jobboard_fallback,No official career page found; Leem employer page fallback.,2026-05-29
yes,Stago,entreprise,France OR Suisse OR Switzerland,https://www.stago.fr/carrieres/offres-demploi/%23page-search---index---lang---fr_FR/#page-search---index,,,https://www.linkedin.com/jobs/search/?keywords=Stago+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Stago+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Stago+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Stago offres emploi.,2026-05-29
yes,Siemens Healthineers,entreprise,France OR Suisse OR Switzerland,https://careers.siemens-healthineers.com/global/en/c/manufacturing-jobs,https://careers.siemens-healthineers.com/global/en/c/clinical-jobs,,https://www.linkedin.com/jobs/search/?keywords=Siemens+Healthineers+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Siemens+Healthineers+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Siemens+Healthineers+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,Siemens Healthineers manufacturing + clinical jobs.,2026-05-29
yes,Distalmotion,entreprise,France OR Suisse OR Switzerland,https://apply.workable.com/distalmotion/,,,https://www.linkedin.com/jobs/search/?keywords=Distalmotion+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Distalmotion+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Distalmotion+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official_ats,Official Workable board for Distalmotion.,2026-05-29
yes,Intuitive Surgical,entreprise,France OR Suisse OR Switzerland,https://careers.intuitive.com/en/jobs/,,,https://www.linkedin.com/jobs/search/?keywords=Intuitive+Surgical+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Intuitive+Surgical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Intuitive+Surgical+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Intuitive jobs page.,2026-05-29
yes,Eyesoft,entreprise,France OR Suisse OR Switzerland,https://www.linkedin.com/company/eyesoftpro/jobs/,,,https://www.linkedin.com/jobs/search/?keywords=Eyesoft+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Eyesoft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Eyesoft+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,PhD OR ingénieur R&D OR medical imaging OR biomedical OR Python OR MATLAB,verified_or_user_provided,LinkedIn jobs Eyesoft.,2026-05-29
yes,Artedrone,entreprise,France OR Suisse OR Switzerland,https://fr.linkedin.com/company/artedrone/jobs,,,https://www.linkedin.com/jobs/search/?keywords=Artedrone+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Artedrone+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Artedrone+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,Artedrone micro-cathéter recrutement,linkedin_fallback,No official careers page found; LinkedIn company jobs fallback.,2026-05-29
yes,Alatyr Space,entreprise,France OR Suisse OR Switzerland,https://www.alatyr.space/careers,,,https://www.linkedin.com/jobs/search/?keywords=Alatyr+Space+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=Alatyr+Space+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=Alatyr+Space+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official Alatyr careers page.,2026-05-29
yes,ESA,entreprise,France OR Suisse OR Switzerland,https://jobs.esa.int/,,,https://www.linkedin.com/jobs/search/?keywords=ESA+engineer+biomedical+medical+imaging&location=France+Suisse,https://www.hellowork.com/fr-fr/emploi/recherche.html?k=ESA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France,https://fr.indeed.com/jobs?q=ESA+ing%C3%A9nieur+biomedical+imagerie+m%C3%A9dicale&l=France+Suisse,,verified_official,Official European Space Agency recruiting site.,2026-05-29
