enabled,name,type,location_hint,direct_url,extra_keywords,url_status,url_note,checked_on
yes,Align Technology,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.aligntech.com/search-job,,verified_official,Official Align Technology job search.,2026-05-27
yes,Cardinal Health,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.cardinalhealth.com/,,verified_official,Official Cardinal Health jobs portal.,2026-05-27
yes,Hamilton Medical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.hamilton.ch/en/,,verified_official,Official Hamilton careers/jobs portal.,2026-05-27
yes,MSD Merck Sharp & Dohme,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.msd.com/fr/fr/france,,verified_official,Official MSD France careers page.,2026-05-27
yes,TRUMPF,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.trumpf.com/en_INT/careers/vacancies/,,verified_official,Official TRUMPF vacancies page.,2026-05-27
yes,Wandercraft,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://wandercraft.welcomekit.co/,,verified_official_ats,Official WelcomeKit job board for Wandercraft.,2026-05-27
yes,Johnson & Johnson,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.careers.jnj.com/en/locations/emea/france/,,verified_official,Official J&J careers in France page.,2026-05-27
yes,Boston Scientific,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.bostonscientific.com/,,verified_official,Official Boston Scientific jobs portal.,2026-05-27
yes,Sysnav,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://sysnav.welcomekit.co/,,verified_official_ats,Official WelcomeKit job board for Sysnav.,2026-05-27
yes,Affluent Medical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.emploi.leem.org/company/2087,,sector_jobboard_fallback,No official career page found; Leem employer page fallback.,2026-05-27
yes,Stago,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.stago.fr/carrieres/offres-demploi/#page-search---index---lang---fr_FR/,,verified_official,Official Stago job offers page.,2026-05-27
yes,Siemens Healthineers,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.siemens-healthineers.com/,,verified_official,Official Siemens Healthineers careers portal.,2026-05-27
yes,Distalmotion,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://apply.workable.com/distalmotion/,,verified_official_ats,Official Workable board for Distalmotion.,2026-05-27
yes,Swiss Medical Network,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.swissmedical.net/en/career/job-offers,,verified_official,Official Swiss Medical Network job offers.,2026-05-27
yes,Intuitive Surgical,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://careers.intuitive.com/en/jobs/,,verified_official,Official Intuitive jobs page.,2026-05-27
yes,Eyesoft,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,,"""Eyesoft"" ophthalmology software jobs",not_found,Ambiguous organization name; no reliable careers page identified.,2026-05-27
yes,Artedrone,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://fr.linkedin.com/company/artedrone/jobs,Artedrone micro-cathéter recrutement,linkedin_fallback,No official careers page found; LinkedIn company jobs fallback.,2026-05-27
yes,Project CETI,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.projectceti.org/get-involved,"""Cetacean Translation Initiative"" Schmidt Marine",verified_official_non_jobboard,Official get-involved page; some roles also appear on Schmidt Marine.,2026-05-27
yes,Alatyr Space,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.alatyr.space/careers,,verified_official,Official Alatyr careers page.,2026-05-27
yes,ESA,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://jobs.esa.int/,,verified_official,Official European Space Agency recruiting site.,2026-05-27
yes,Wyss Institute,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://wyss.harvard.edu/careers/,,verified_official,Official Wyss Institute careers page.,2026-05-27
yes,ARTORG,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.artorg.unibe.ch/about_us/jobs/index_eng.html,,verified_official,Official ARTORG jobs page.,2026-05-27
yes,Physique pour la médecine,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://www.physicsformedicine.espci.fr/,"""Physics for Medicine"" ESPCI CNRS Inserm",official_labo_page_no_jobs,Official institute page; no dedicated jobs page found.,2026-05-27
yes,Institut du Cerveau,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://offres.institutducerveau-icm.org/,,verified_official,Official Institut du Cerveau offers portal.,2026-05-27
yes,Lunaphore,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://lunaphore.com/careers/,,verified_official_redirect,Official page redirects candidates to Bio-Techne careers.,2026-05-27
yes,CNRS,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://emploi.cnrs.fr/,,verified_official,Official CNRS employment portal.,2026-05-27
yes,Inserm,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://pro.inserm.fr/rubriques/nous-rejoindre/offres-demploi,,verified_official,Official Inserm job offers page.,2026-05-27
yes,Institut Pasteur,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://emploi.pasteur.fr/offre-de-emploi/liste-offres.aspx,,verified_official,Official Institut Pasteur job offers.,2026-05-27
yes,Institut Curie,labo,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://curie.fr/offres-emploi,,verified_official,Official Institut Curie job offers.,2026-05-27
yes,Iconeus,entreprise,France OR Paris OR Europe OR Suisse OR Switzerland OR remote,https://iconeus.com/about-us/careers/,,verified_official,Official Iconeus careers page.,2026-05-27
