found_at,company,title,location,contract_type,score,mobilisation_time,url,core_skills,good_skills,intermediate_skills,missing_or_weak_keywords,classification_confidence,classification_reason,source_url
2026-05-27T12:29:29.777576+00:00,Microsoft Research,Applied Researcher 2/ Senior Applied Researcher,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""US""}, ""address",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556867062,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:29:32.263324+00:00,Microsoft Research,Applied Researcher 2/ Senior Applied Researcher,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556867062,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:29:36.201450+00:00,Microsoft Research,Principal Applied Researcher,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""US""}, ""address",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556867061,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:29:39.192725+00:00,Microsoft Research,Principal Applied Researcher,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556867061,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:29:43.659553+00:00,Microsoft Research,Principal Data Scientist,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""US""}, ""address",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556868060,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:29:46.657399+00:00,Microsoft Research,Principal Data Scientist,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556868060,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:36:53.024602+00:00,Wandercraft,(H/F) AI & Control Senior Engineer,Paris,CDI,38.4,long,https://wandercraft.welcomekit.co/jobs/h-f-senior-modeling-simulation-engineer_paris,"Python, gestion de projet R&D",contrôle-commande,"C, C++, C/C++, R",,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:36:55.864732+00:00,Wandercraft,(M/F) Senior Electronics R&D Engineer at Wandercraft: job opportunity,Paris Education Level,Full-Time Start Date,43.3,moyen,https://wandercraft.welcomekit.co/jobs/m-f-senior-electronics-r-d-engineer_paris,"gestion de projet R&D, coordination pluridisciplinaire, anglais C1",contrôle-commande,R,,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:36:57.407611+00:00,Wandercraft,(M/F) Electronics R&D Engineer at Wandercraft: job opportunity in,Paris Education Level,Full-Time Start Date,52.2,moyen,https://wandercraft.welcomekit.co/jobs/m-f-electronics-r-d-engineer_paris_WANDE_xMAZDNJ,"gestion d'exigences, gestion de projet R&D, coordination pluridisciplinaire, anglais C1",ISO 13485,R,,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:37:01.942897+00:00,Wandercraft,(H/F) Systems Engineer,Paris Education Level,Full-Time Location,55.1,moyen,https://wandercraft.welcomekit.co/jobs/h-f-systems-engineer-robotics-safety-functional-safety_paris,"gestion d'exigences, coordination pluridisciplinaire, anglais C1","robotique médicale, contrôle-commande","C, C/C++, R",,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:37:04.356767+00:00,Wandercraft,(M/W) Electronic Industrialization Engineer at Wandercraft: job,Paris Education Level,Full-Time Location,38.0,long,https://wandercraft.welcomekit.co/jobs/m-w-electronic-industrialization-engineer_paris,"gestion de projet R&D, anglais C1",ISO 13485,"C, C/C++, R",React,0.975,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:37:13.142749+00:00,Wandercraft,(H/F) Stagiaire Ingénieur R&D Conception Mécanique at Wandercraft: job,Paris,Stage,47.6,moyen,https://wandercraft.welcomekit.co/jobs/h-f-stagiaire-ingenieur-r-d-conception-mecanique_paris,"gestion d'exigences, gestion de projet R&D, coordination pluridisciplinaire, anglais C1",,"C, C/C++, R",,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
2026-05-27T12:37:19.536795+00:00,Wandercraft,(H/F) Medical Sales Specialist at Wandercraft: job opportunity in,Paris,CDI,49.3,moyen,https://wandercraft.welcomekit.co/jobs/h-f-medical-sales-specialist_paris,"dispositifs médicaux, gestion de projet R&D, anglais C1",,"C, C/C++, R",,0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://wandercraft.welcomekit.co/
